ID,ADDRESS,NEIGHBORHOOD,CITY,SUBREGION,REGION,COUNTRYCODE,Longitude,Latitude,Match Score
90,Corner General Aguinaldo Avenue and P. Tuazon  Street,,Araneta Center Cubao,Quezon City,NCR,PHL,121.055138893917,14.617554580149,96.64
91,Lawton Avenue,Bonifacio South,Taguig City,,NCR,PHL,121.03858494782,14.534735460564,87.44
92,Barangay Ungka II,,Pavia,Iloilo,R-VI,PHL,122.539032998706,10.766644226577,85.07
93,Sapphire and Garnet Roads,Ortigas Center,Pasig City,,NCR,PHL,121.062420710517,14.587393752798,89.48
94,Topaz and Ruby Roads,Ortigas Center,Pasig City,,NCR,PHL,121.061031120392,14.585132079471,99.29
95,Topaz and Ruby Roads,Ortigas Center,Pasig City,,NCR,PHL,121.061031120392,14.585132079471,99.29
96,Barangay Darong,,Municipality of Sta. Cruz,Province of Davao del Sur,R-XI,PHL,125.46917,6.93278,84.07
97,Maguyam,,Silang,Cavite,R-IV,PHL,121.0220105,14.2701092,94.55
98,J.P. Laurel Ave. cor. Angliongto Street,Lanang,Davao City,,R-XI,PHL,125.645311050827,7.105675692373,81.57
99,Barangay San Antonio,,Davao City,,R-XI,PHL,125.63487,7.09899,85.33
100,Barangay Calindagan,Dumaguete,City,,R-VII,PHL,123.2936929,9.2820651,80.94
101,Commonwealth Avenue,,Diliman,Quezon City,NCR,PHL,121.052204068744,14.653119221301,100
102,2322 Chino Roces Avenue,,Makati City,,NCR,PHL,121.023569796711,14.53195699236,100
103,San Roque,Angono & Darangan,Binangonan,Rizal,R-IV,PHL,121.1668,14.5255,83
104,E Rodriguez,Jr. Ave.,Bagumbayan,Quezon City,NCR,PHL,121.075529168915,14.612099643779,87.07
105,2305 Chino Roces Avenue Extension,,Makati City,,NCR,PHL,121.022369756881,14.533670239252,90.52
106,Sta. Filomena,,San Mariano,Isabela,R-II,PHL,122.0121112,17.0161175,93.67
107,32nd Street corner 9th Avenue,"Bonifacio Global City, Fort Bonifacio",Taguig City,,NCR,PHL,121.052208161472,14.552992300388,96.53
108,Lot 5,"Block 2, 32nd Street corner 9th Avenue, Bonifacio Global City",Taguig City,,NCR,PHL,121.049221,14.5484707,82.69
109,EDSA corner United Street,,Mandaluyong City,,NCR,PHL,121.052394910274,14.579188388111,100
110,Along United street,,Mandaluyong City,,NCR,PHL,121.05519072938,14.576982480905,95
111,Legazpi Port Area,,Legaspi City,,R-V,PHL,123.7539,13.1494,91.43
112,Anabu II,,Imus,Cavite,R-IV,PHL,120.958363,14.3778182,93.5
113,H. Cortes Street,Banilad,Mandaue City,Cebu,R-VII,PHL,123.924660580706,10.339189705407,78.28
114,Teresa Avenue,"Nepo Commercial Complex, Barangays Sto. Rosario and Cutcut",Angeles City,Pampanga,R-III,PHL,120.583798632431,15.131500090189,80.42
115,Teresa Ave. cor. Don Juan Ave.,Nepo Mart Commercial Complex,Angeles City,Pampanga,R-III,PHL,120.586795387107,15.133661912182,79
116,418 Arayat Street corner Libertad Street,,Mandaluyong City,,NCR,PHL,121.047344960223,14.575675033314,84.81
117,Corners Real,"Dr. V. Locsin & Cervantes Streets, Brgy. 3",Dumaguete City,,R-VII,PHL,123.3003036,9.2957675,75
118,Fort Bonifacio Global City,,Taguig City,,NCR,PHL,121.049221,14.5484707,100
119,Capitol Commons,Meralco Avenue corner Shaw Boulevard,Pasig City,,NCR,PHL,121.0806429,14.5598218,75
120,EDSA corner Quezon Avenue,Barangay Pinyahan,Diliman District,Quezon City,NCR,PHL,121.037797406799,14.644086195456,97.58
121,Ortigas Avenue corner Efipanio Delos Santos Avenue,,Barangay Ugong Norte,Quezon City,NCR,PHL,121.058576982961,14.593024689049,97.8
122,Exportbank Drive cor. Chino Roces Ave.,,Makati City,,NCR,PHL,121.012115506927,14.559328390546,100
123,Maligaya Road,,Fairview,Quezon City,NCR,PHL,121.070728,14.7032559,85.35
124,Quezon Boulevard,Barangay Bucana,Davao City,,R-XI,PHL,125.609803091497,7.061246108865,94.12
125,Barrio Maraouy,,Lipa City,Batangas,R-IV,PHL,121.1651615,13.9603158,83.61
126,Jacinto Extension cor. Quirino Avenue,,Davao City,,R-XI,PHL,125.611122364929,7.075584319921,98.95
127,Salinas Drive,,Lahug,Cebu City,R-VII,PHL,123.90142982402,10.329566655031,95.17
128,Clark Special Economic Zone,Barangay Aranguren,Capas,Tarlac,R-III,PHL,120.5242057,15.3600325,80
129,Punta,Burol & Bubuyan,Calamba City,Laguna,R-IV,PHL,121.1044156,14.1713317,85.95
130,Langkaan,,Dasmariñas,Cavite,R-IV,PHL,120.93333,14.31667,95.56
131,Trapiche,Pagaspas & Baloc-Baloc,Tanauan,Batangas,R-IV,PHL,121.130195764962,14.095534901109,82.45
132,Ilang,Bunawan District,Davao  City,,R-XI,PHL,125.64331,7.24163,80
133,Barangays Ulango and Laurel,Tanauan City and Sta. Anastacia,Sto. Tomas,Batangas,R-IV,PHL,121.1386951,14.1366969,80
134,Barangays Sta. Anastacia and San Rafael,,Sto. Tomas,Batangas,R-IV,PHL,121.135924649478,14.134966079987,80.26
135,Arch. Reyes Ave.,Cebu Business Park,Mabolo,Cebu City,R-VII,PHL,123.903215091716,10.319096795543,82.12
136,East Service Road,,Taguig City,,NCR,PHL,121.045365962506,14.475037466063,100
137,Balacad,Laoag City,Ilocos Norte,,R-I,PHL,120.5537,18.1553,97.24
138,F. Cabahug Street,,Barangay Kasambangan,Cebu City,R-VII,PHL,0.0,0.0,0
139,Javalera,,Gen. Trias,Cavite,R-IV,PHL,120.9148453,14.2672221,95.2
140,Araneta Center,,Cubao,Quezon City,NCR,PHL,121.054306309481,14.620711631427,92.81
141,Araneta Center,,Cubao,Quezon City,NCR,PHL,121.054306309481,14.620711631427,92.81
142,Barangay Tambler,,General Santos City,,R-XII,PHL,125.142049154048,6.059019276156,82.84
143,Opal Road,"cor. Topaz and Ruby Road, Brgy. San Antonio",Pasig City,,NCR,PHL,121.060413535005,14.586868728345,82.66
144,1024 EDSA,,Quezon City,,NCR,PHL,121.02309546481,14.657015448742,100
145,Rizal Drive,"Green Street and Hotel Drive, Barangay San Lorenzo",Makati City,,NCR,PHL,121.0205792,14.5499982,80
146,Rizal Drive,"Green Street and Hotel Drive, Barangay San Lorenzo",Makati City,,NCR,PHL,121.0205792,14.5499982,80
147,Office Drive,,Makati City,,NCR,PHL,121.0261473,14.569122,81.67
148,Brgy. Buenavista,,Gen. Trias,Cavite,R-IV,PHL,120.89313308989,14.322124825391,88.99
149,Governor's Drive,Maduya,Carmona,Cavite,R-IV,PHL,121.061299695251,14.318265386058,82.26
150,Barangay Bebeladan,El Nido,Palawan,,R-IV,PHL,119.378899,11.0208037,86.67
151,Don Jose,,Sta. Rosa City,Laguna,R-IV,PHL,121.086706,14.2577375,95.56
152,Ayala Ave. cor. H. V. Dela Costa St.,,Makati City,,NCR,PHL,121.016263459351,14.559942113496,100
153,Ortigas Center,,Pasig City,,NCR,PHL,121.061656368573,14.585894670552,89.64
154,58 P. Tuazon Boulevard corner 7th and 8th Avenue,,Cubao,Quezon City,NCR,PHL,121.054617288082,14.617097305421,97.05
155,Mindanao Avenue,,Cebu Business Park,Cebu City,R-VII,PHL,123.905252042684,10.320229030972,86.67
156,Hermosa,,Bataan,,R-III,PHL,120.5073637,14.8317529,90.59
157,86 E. Rodriguez Jr. Avenue,,Barangay Ugong Norte,Quezon City,NCR,PHL,121.079751514401,14.594870300309,98.43
158,Madaum,,Tagum City,Davao del Norte,R-XI,PHL,125.8117185,7.3855036,96.13
159,Barangays Sto. Cristo and Kaybanban,,San Jose Del Monte City,Bulacan,R-III,PHL,121.0962,14.8138,83.33
160,1026 EDSA,,Quezon City,,NCR,PHL,121.022677680171,14.657366714441,93.33
161,HVG Arcade,Subangdaku,Mandaue City,,R-VII,PHL,0.0,0.0,0
162,Old Airport,,Iloilo City,,R-VI,PHL,122.5412049,10.710011,89.57
163,Corner Avacena and Locsin Streets,,Barangay North San Jose,Iloilo City,R-VI,PHL,122.53389,10.77028,75
164,Barangay Mali-ao,,Pavia,Iloilo,R-VI,PHL,122.5312381,10.7885609,84.29
165,Riverside Boardwalk,,Barangay San Rafael,Iloilo City,R-VI,PHL,122.5499271,10.7064294,75.73
166,Block 32,"Lots 8 and 11, 39th and 40th Streets, Bonifacio Global City, Fort Bonifacio",Taguig City,,NCR,PHL,121.049221,14.5484707,80
167,6781 Ayala Avenue corner Paseo de Roxas,,Makati City,,NCR,PHL,121.021073917402,14.556754014714,98.55
168,Life Drive,"Filinvest Corporate City, Alabang",Muntinlupa City,,NCR,PHL,121.044048,14.4178119,80
169,Barangay Irasan,,Municipality of Roxas,Zamboanga del Norte,R-IX,PHL,123.2059,8.443,77.59
170,Meralco Avenue,Ortigas Center,Pasig City,,NCR,PHL,121.061094013752,14.574816627423,97.46
171,Solana & Luz Banzon,,Jasaan,Misamis Oriental,R-X,PHL,124.7671238,8.633751,91.58
172,Jupiter Street corner N. Garcia Street,Barangay Bel-Air,Makati City,,NCR,PHL,121.02230773355,14.562824398541,98.64
173,409 Shaw Boulevard,,Mandaluyong City,,NCR,PHL,121.031367025605,14.591639878264,96.91
174,90 General Maxilom Avenue,,Cebu City,,R-VII,PHL,123.911284475679,10.305412841803,93.82
175,2109 Prime Street,"Madrigal Business Park, Ayala Alabang",Muntinlupa City,,NCR,PHL,121.044048,14.4178119,80
176,A.S. Fortuna Street,Bakilid,Mandaue City,Cebu,R-VII,PHL,123.93833,10.33583,81.36
177,Baguio City,,Benguet Province,,CAR,PHL,120.59306,16.41639,100
178,Jose Panganiban,,Camarines Norte,,R-V,PHL,122.6925122,14.2914107,97.33
179,9th Avenue corner 30th Street,Bonifacio Global City,Taguig City,,NCR,PHL,121.051682699961,14.551555181179,99.45
180,Salinas Drive,,Lahug,Cebu City,R-VII,PHL,123.90142982402,10.329566655031,95.17
181,Salinas Drive,,Lahug,Cebu City,R-VII,PHL,123.90142982402,10.329566655031,95.17
182,Salinas Drive,,Lahug,Cebu City,R-VII,PHL,123.90142982402,10.329566655031,95.17
183,Brgy. Kamanga,,Municipality of Maasim,Province of Sarangani,R-XII,PHL,125.00611,5.8575,79.63
184,Cardinal Rosales Avenue corner Samar Loop,,Cebu Business Park,Cebu City,R-VII,PHL,123.905841262967,10.316146314291,97.5
185,2129 Don Chino Roces Avenue,,Makati City,,NCR,PHL,121.017400187747,14.54282023725,96.11
186,No. 691 Aurora Boulevard,,Quezon City,,NCR,PHL,121.034074165408,14.61349702655,100
187,Lopez Jaena Street,Subangdaku,Mandaue City,Cebu,R-VII,PHL,123.927416414191,10.325582761123,94.72
188,120 E. Rodriguez Jr. Avenue corner Ortigas Avenue,Brgy. Ugong,Pasig City,,NCR,PHL,121.079872716721,14.589876320488,97.23
189,Ganado & Mamplasan,,Biñan City,Laguna,R-IV,PHL,121.08089,14.28893,89.09
190,Sta. Rosa and Biñan City,,Laguna,,R-IV,PHL,121.0847536,14.338775,81.43
191,Barangay Biñan,,Biñan City,Laguna,R-IV,PHL,121.052755769086,14.262423582578,84.53
192,Barangays Don Jose and Sto. Domingo,,Sta. Rosa City,Laguna,R-IV,PHL,121.0602981,14.2428494,82.04
193,Malaria,Tala,Caloocan City,,NCR,PHL,120.9714452,14.6515298,83.08
194,Cebu Business Park,,Cebu City,,R-VII,PHL,123.902926544578,10.318823724104,81.76
195,Cebu Business Park,,Cebu City,Province of Cebu,R-VII,PHL,123.89071,10.31672,80.95
196,Isabel,,Leyte,,R-VIII,PHL,124.4332803,10.9246802,87.5
197,Brgy. Pawing,,Palo,Leyte,R-VIII,PHL,124.9953433,11.1876675,85
198,Pawing,,Palo,Leyte,R-VIII,PHL,124.9953433,11.1876675,90
199,Diezmo,,Cabuyao,Laguna,R-IV,PHL,121.1056553,14.2495405,94.55
200,Real & La Mesa,,Calamba City,Laguna,R-IV,PHL,121.1636109,14.1860107,90.67
201,San Rafael & Sta Anastacia,,Sto. Tomas,Batangas,R-IV,PHL,121.137891833297,14.127700493254,89.52
202,Barangays Bulihan,"Luta Sur, Luta Norte, San Fernando, San Pedro West, and Poblacion",Malvar,Batangas,R-IV,PHL,121.1560434,14.051504,80
203,San Lucas,"Bugtong na Pulo & Inosluban, Lipa City and Santiago & Payapa",Malvar,Batangas,R-IV,PHL,121.1554715,14.0158578,80
204,Lapasan,,Cagayan De Oro City,,R-X,PHL,124.6647411,8.4825661,96.8
205,Bantayan,,Dumaguete City,Negros Oriental,R-VII,PHL,123.3062306,9.3196019,95.9
206,Araneta Street,Barangay Tangub,Bacolod City,,R-VI,PHL,122.930957749075,10.637968702362,81.27
207,Burgos Street coner Hilado National Highway,,Bacolod City,,R-VI,PHL,122.946825132137,10.673165704895,80.48
208,Jose Romero Sr. Street,Bagacay,Dumaguete City,Negros Oriental,R-VII,PHL,123.288206909931,9.298260856021,85.87
209,Jacinto Extension corner Villamor Street,,Davao City,,R-XI,PHL,125.616314912036,7.080866951533,81.77
210,San Miguel,,Tarlac,,R-III,PHL,120.6118002,15.4616333,91.58
211,Aguinaldo Highway corner Nueno Avenue,Tanzang Luma 1,Imus,Cavite,R-IV,PHL,120.942146983436,14.422624914172,97.63
212,46 Lizares Avenue,,Bacolod City,,R-VI,PHL,122.944331514596,10.660515536974,85.39
213,Barangay Alang-alang,,Mandaue City,Cebu,R-VII,PHL,123.945969692498,10.33196754455,88.92
214,Barangay Lago,,General Santos City,,R-XII,PHL,125.190639955306,6.128659427953,76.5
215,Nichols Field,NAIA,Pasay City,,NCR,PHL,121.0226,14.5181,91.43
216,Lapu-Lapu City,,Mactan,Cebu,R-VII,PHL,124.01105,10.30563,86.59
217,Basak,Lapu-lapu City,Mactan,Cebu,R-VII,PHL,124.00706,10.30623,88.29
218,Coral Way corner J.W. Diokno Boulevard,"Mall of Asia Complex, CBP-1A",Pasay City,,NCR,PHL,120.984486826223,14.531377216117,94.7
219,Maxilom Avenue corner Juana Osmeña Street,,Cebu City,,R-VII,PHL,123.89541736054,10.310278101969,99.17
220,District of Tondo,,Manila City,,NCR,PHL,120.9780244,14.611891,87.86
221,Barangay Poblacion,,Manticao,Misamis Oriental,R-X,PHL,124.2852492,8.3959471,90.48
222,Along Osmeña Capitol Site,,Cebu City,,R-VII,PHL,123.88934,10.31642,82.35
223,Lot-C,Bonifacio Global City,Taguig City,,NCR,PHL,121.049221,14.5484707,95.56
224,2153 Chino Roces Avenue corner Herrera Street,,Makati City,,NCR,PHL,121.013595164294,14.554982792845,99.23
225,Mac Arthur Highway,Matina,Davao City,,R-XI,PHL,125.580309649763,7.05835631629,93.61
226,McKinley Road corner Epifanio Delos Santos Avenue (EDSA),,Makati City,,NCR,PHL,121.029402092579,14.550029213796,99.33
227,Fort Bonifacio Global City,,Taguig City,,NCR,PHL,121.049221,14.5484707,100
228,South Bonifacio District,Bonifacio Global City,Taguig City,,NCR,PHL,121.049221,14.5484707,83.7
229,E. Rodriguez Jr. Avenue (C-5 Road) cor. Eastwood Avenue,,Barangay Bagumbayan,Quezon City,NCR,PHL,121.078624735157,14.607326017975,90.28
230,España Boulevard,,Rotonda,Quezon City,NCR,PHL,121.001881058029,14.617641749738,93
231,Lot 8,"Block 5, 32nd Street, Bonifacio Global City",Taguig City,,NCR,PHL,121.049221,14.5484707,89.23
232,Barangay Calibuyo,,Tanza,Cavite,R-IV,PHL,120.803859026083,14.355698701368,87.57
233,Lot 2,"Block 16, 4th and 5th Avenues, Bonifacio Global City",Taguig City,,NCR,PHL,121.049221,14.5484707,86.44
234,Barangays Calumpang and Tambler,,General Santos City,South Cotabato,R-XII,PHL,125.0807127,6.0241739,83.87
235,Cagraray Island,Barangay Misibis,Bacacay,Albay,R-V,PHL,123.9018294,13.247069,80
236,2310 Pasong Tamo Extension,,Makati City,,NCR,PHL,121.022833697974,14.532785836855,99.42
237,22nd Street,Lacson,Bacolod City,,R-VI,PHL,122.956165853736,10.683501710255,89.5
238,Archbishop Reyes Avenue,,Cebu City,,R-VII,PHL,123.903215091716,10.319096795543,95.76
239,Sabang,,Danao  City,Cebu,R-VII,PHL,124.0309784,10.4967268,93.04
240,Ayala Triangle,Ayala Avenue,Makati City,,NCR,PHL,121.02424,14.55681,82.16
241,6805 Ayala Avenue,,Makati City,,NCR,PHL,121.017566761476,14.559269381947,100
242,Barangay Triangulo,,Naga City,,R-V,PHL,123.186369176606,13.618379855496,87.6
243,Barangay Cantao-an,,Naga,Cebu,R-VII,PHL,123.7604266,10.2522157,82.3
244,Barangay 39,,Bacolod City,,R-VI,PHL,122.9455785,10.6657479,95
245,254 Magsaysay Avenue,,Baguio City,,CAR,PHL,120.594105285901,16.427018648419,88.39
246,Barangay Hilapnitan,,Municipality of Baybay,Province of Leyte,R-VIII,PHL,124.7698,10.7989,82.75
247,Sales Road corner Andrews Avenue,Villamor Airbase,Pasay City,,NCR,PHL,121.018736288426,14.517091603259,96.32
248,6786 Ayala Avenue,Barangay San Lorenzo,Makati City,,NCR,PHL,121.021665910552,14.55638630067,90.87
249,No. 41 Commonwealth Avenue,,Barangay Holy Spirit,Quezon City,NCR,PHL,121.084692122095,14.681075389951,92.08
250,Filinvest Corporate City,Alabang,Muntinlupa City,,NCR,PHL,121.03818957701,14.419685610029,94.85
251,Barangay Linmansangan,,Binalonan,Pangasinan,R-I,PHL,120.572394496797,16.048648578943,91.38
252,Knowledge Avenue,"Carmel Town, Canlubang",Calamba City,Laguna,R-IV,PHL,121.081563662349,14.207932105803,91.57
253,A.S. Fortuna,Banilad,Mandaue City,,R-VII,PHL,123.914777757449,10.343290200741,89.29
254,A.S. Fortuna Street,Banilad,Mandaue City,,R-VII,PHL,123.937400833007,10.329503267751,78.25
255,San Miguel Avenue,Ortigas Center,Pasig City,,NCR,PHL,121.059536214743,14.580938024375,97.46
256,Barangays Tambo and Dongalo,,Parañaque City,,NCR,PHL,120.9922338,14.5046791,82
257,Epifanio Delos Santos Avenue corner Ayala Avenue,Barangay San Lorenzo,Makati City,,NCR,PHL,121.029110402348,14.550341900694,98.9
258,Meralco Avenue corner Julia Vargas Avenue,Ortigas Center,Pasig City,,NCR,PHL,121.063759178419,14.584360399556,99.37
259,Commonwealth Avenue,,Barangay Holy Spirit,Quezon City,NCR,PHL,121.084692122095,14.681075389951,94.29
